Dx/Px Description (HAMDCT),count
Invasive pulmonary aspergillosis (117.3:3),2
Pneumomediastinum (518.1:1),2
Polyp of corpus uteri (621.0:0),2
Restrictive cardiomyopathy (425.4:2),2
Hepatomegaly with splenomegaly (789.1:2),2
Postoperative infection (998.59:0),2
Open wound of leg (894.0:0),2
Syncope and collapse (780.2:0),2
Post PDU Patch Repair (V15.2:3),2
Oral mucositis (528.0:1),2
Acute hepatitis C with coma (070.41:0),2
Churg-Strauss syndrome (446.4:3),2
Panuveitis (360.12:0),2
HIV infection with cancer (042:14),2
M&B disor acute cocaine intoxicat (305.60:5),2
Cl vault # cere lac+ contu no LOC (800.11:0),2
Prog multifocal leukoencephalopath (046.3:0),2
"Skin melanoma, vulva (184.4:3)",2
Actinomycotic sepsis (039.9:4),2
Angiodysplasia of duodenum & bleed (537.83:3),2
Benign ovarian cyst (620.2:1),2
Peripheral neuropathy (356.9:2),2
Contact dermatitis (692.9:1),2
Complete disrupt renal parenchyma (866.03:0),2
Iliac artery occlusion (444.81:3),2
Chr marginal ulcer w perf (534.50:0),2
Multiple chop wounds (879.8:3),2
Morbid obesity (278.01:0),2
Cryptococcosis (117.5:0),2
Central nervous system infection (349.89:4),2
"Unc beh tumur, pleura thym mediast (235.8:0)",2
Laceration of kidney (866.02:0),2
Portal hypertension (572.3:0),2
Transiti cell carcino urin bladder (188.9:4),2
Acute opioid intoxication (305.50:1),2
Nonketotic hyperglycinemia (270.7:3),2
"Toxoplasmosis, meningoencephalitis (130.0:0)",2
Sliding Hiatus Hernia (553.3:2),2
"SIRS, non-infect w organ failure (780.9:27)",2
Pancreat cyst/pseudocyst (577.2:0),2
Central cord synd/C5-C7 (952.08:0),2
Acute sinusitis (461.9:0),2
Rheumatic mitral valve disease (394.9:0),2
TB abdomen (014.80:2),2
Elevated PSA (790.93:0),2
Injury inferior vena cava (902.10:0),2
Peritoneal adhesions (568.0:0),2
Osteomyelitis Femur (730.05:1),2
"Orchitis, epidi& epidi-orch w absc (604.0:0)",2
GE salmonella C (003.0:3),2
Malig neo glans penis (187.2:0),2
Anal cancer (154.3:0),2
Malfunc vasc device / graft (996.1:0),2
Osteomyelitis of vertebral body (730.28:2),2
Severe preeclampia (642.50:0),2
Lung contusion (861.21:0),2
Anal fissure (565.0:0),2
Corrosive esophageal stricture (530.3:1),2
Benign neoplasm small bowel (211.2:0),2
Delivered with eclampsia (642.61:800),2
Spleen disease (289.50:0),2
Hydroureter (593.5:0),2
Mal neo occipital lobe (191.4:0),2
Oral ulcerative mucositis (528.0:2),2
Colo-cutaneous fistula (569.81:2),2
Acute viral hepatitis (070.9:4),2
Infection of intervertebral disk (722.90:2),2
ICH LOC >24 hr retu to conscious (853.04:0),2
Post-operation fever >38C (998.89:3),2
TB meningitis - exam unknown (013.02:0),2
OGD w clipping (stomach/duodenum) (44.43:4),2
Squamous cell carcinoma (199.1:6),2
Cancer of biliary tract (156.9:0),2
HIV infection causing CNS disorder (042:16),2
Hx-rectal & anal malign (V10.06:0),2
# lower limb - open (827.1:0),2
Chin laceration (873.44:2),2
Metastatic LN - head & neck (196.0:2),2
"Abdo wall hematoma, traumatic (922.2:2)",2
TB peritonitis - exam unknown (014.02:0),2
Delivered w cephalopelv disproport (653.41:801),2
"Aquired TI, non-rheumatic (424.2:1)",2
Dislocation shoulder-closed (831.00:0),2
MALT-lymphoma (202.80:48),2
Angiodysplasia smal bowel bleeding (569.85:2),2
Antepartum hemorrhage AP care (641.93:800),2
Idiopathic VT (427.1:4),2
Polyneuropathy (356.9:1),2
Antenat screening fetal wellbeing (V28.8:1),2
Protrusion of ortho implant/device (996.4:5),2
"Delivered, advanced maternal age (659.61:800)",2
Peritoneal disorder (568.9:0),2
Rupture ovarian cyst (620.2:4),2
"Choriocarcinoma, female (181:1)",2
Twitching (781.0:8),2
AIHA related to SLE (283.0:6),2
Uncertain behav tumor soft tissue (238.1:0),2
Idiopathic fibrosing alveolitis (516.3:0),2
"RA, seropositive (714.0:4)",2
Walled-off pancreatic necrosis (577.0:13),2
CA oropharynx (146.8:0),2
"Cecal diverticulum, perforation (562.10:1)",2
Infection of kidney (590.9:0),2
Rib fracture with flail chest (807.4:1),2
Mediastinal large B-cell lymphoma (202.80:42),2
Parvovirus infection (079.89:1),2
Secondary cardiomyopathy (425.9:0),2
Delayed union of # (733.82:1),2
Hemorrhagic cystitis (595.9:1),2
"Abdominal pain, left up quadrant (789.02:0)",2
Malign neo pineal gland (194.4:0),2
Secondary PPH+ RPOG postpartum (666.24:802),2
Haematoma of vascular entry site (998.12:4),2
Pancreatic cystadenoma (211.6:2),2
Type II DM drug induc hypoglycemia (250.80:10),2
Gallbladder polyp (575.6:1),2
Xanthogranulomatous pyelonephritis (590.00:3),2
"Amniotic fluid embolism, postpartu (673.14:800)",2
Idiopathic retroperitone fibrosis (593.4:1),2
Pineal gland tumor (239.7:5),2
Intestinal stricture (560.9:13),2
Chron gastric ulcer w obstruction (531.71:0),2
Subdural effusion - meningitis (322.9:4),2
Persistent vegetative state (780.03:0),2
Second mal tumor retro/ peritoneum (197.6:0),2
"Epilepsy, intractable epilepsy (345.91:0)",2
# tibia shaft-open (823.30:0),2
Closed # T1-T6 w cord le (806.20:0),2
Vitamin B deficiency (266.9:0),2
Bronchial stenosis (519.1:3),2
Acute Inflammatory Pelvi (614.3:2),2
Influenza A H1N1 viral infection (487.1:9),2
Tracheostomy complic (519.0:0),2
Secondary hypertension (405.99:0),2
Rupture 2 Ca liver (573.8:6),2
Atherosclerosis in limb + ulcer (440.23:0),2
Biliary papillomatosis (211.5:2),2
Subcutaneous Nodule (782.2:15),2
Purulent endophthalmitis (360.00:0),2
Neuroblastoma (194.0:4),2
Q fever (083.0:0),2
Kaposi's sarcoma asso w AIDS (042:45),2
Listeriosis (027.0:0),2
Allergic fungal nasal sinusitis (473.8:2),1
M&B disor opioid withdrawal state (292.0:60),1
Alcoholic cardiomyopathy (425.5:0),1
Dehiscence gastrojejunostomy (997.4:7),1
Abnormal renal function (794.4:1),1
Uncontrol type I DM hyperosmolar (250.23:0),1
Noninflam dis vagina (623.8:0),1
"CA peritoneum, pelvic (158.8:13)",1
Lower limb pain (729.5:1),1
"Pre-/ eclampsia- pre-exist HT, AP (642.73:800)",1
Hypersensitivity angiitis (446.20:0),1
Common bile duct stone (574.50:1),1
Heart injury closed (861.00:0),1
AP care- suspected fetal anomaly (655.93:800),1
Malignan renovascular hypertension (405.01:0),1
Anastomotic bleeding (998.11:1),1
Residual VSD (745.4:5),1
Syringomyelia (336.0:2),1
Mal hrt/ren hyp-no failr (404.00:0),1
Fixed drug eruptions (693.0:4),1
Arterial catheterisation (38.91:0),1
Anal bleeding (569.3:2),1
Acu general exanthemat pustulosis (709.8:22),1
Senile dementia (290.0:0),1
Septic shock delivery episode (648.91:1),1
Mal neo cereb ventricles (191.5:0),1
Foreign body in small bowel (936:5),1
HIV result in encephalopathy (042:58),1
Venous thrombosis (453.9:1),1
Chop wound injury to neck (874.8:1),1
Secondary pulmonary hypertension (416.8:3),1
Superficial laceration of forearm (881.00:1),1
Glaucoma (365.9:0),1
Infer epigast artety inj intraop (998.2:20),1
Internucl ophthalmopleg (378.86:0),1
Phlebitis (451.9:1),1
Contusion toe with nail damage (959.7:5),1
HELLP syndrome delivery episode (642.51:2),1
Hemorrhage into bladder wall (596.7:0),1
Acute ulcerative colitis (556.9:4),1
Synovial cyst (727.40:0),1
Tension pneumocephalocele (348.8:4),1
Hypophosphatasia (275.3:1),1
Pyelitis (590.80:1),1
M&B multi drug depend syndrome (304.90:4),1
Paralysis (344.9:0),1
Asc aorta dilation (Marfan syn) (441.2:3),1
Mild depressive episode (296.21:1),1
Swollen face (784.2:13),1
Tendency to fall (781.9:8),1
TB pericarditis (017.90:2),1
Varicose ulcer lower limb (454.0:0),1
"Fat embolism, trauma complication (958.1:1)",1
Meningococcal meningitis (036.0:0),1
Spondylosis with myelopathy (721.91:0),1
Optic nerve injury (950.0:0),1
Post-op pulm trunk stenosis (417.8:5),1
Pain in penis (607.9:1),1
Campylobacter intestinal infection (008.43:0),1
Colostomy status (V44.3:0),1
Osteomyelitis thoracic spine (730.28:8),1
Post Hartmann's OP (V45.89:5),1
Post-procedural mitral stenosis (424.0:7),1
Tick-borne fever (066.1:0),1
FB in larynx (933.1:0),1
Ca posterior mediastinum (164.3:0),1
Cancer of lower gum (143.1:0),1
Recur disolcate shoulder (718.31:0),1
General weakness (780.7:2),1
Hx of thyroid malignancy (V10.87:0),1
Cut Throat (874.8:2),1
Non-invasive mechan ventilation (93.99:2),1
Keratitis (370.9:0),1
Severe MR no/ mini impair behavior (318.1:1),1
Acute bronchitis by parainfluenza (466.0:8),1
Forcep/ vacu ext delivery no indic (669.51:800),1
Hyperthyroidism (242.90:9),1
Parkinson plus syndrome (332.0:1),1
Spine stenosis cauda equina lesion (724.00:1),1
TB arthritis ankle & foot (015.90:3),1
Paracolic Abscess (567.2:7),1
"Schizophrenia, chronic (295.92:0)",1
OGD & control of bleeding (44.43:3),1
Spont tension pneumotho (512.0:0),1
Cancer ribs/ sternum/ clavicle (170.3:0),1
Nonbacteria thrombo endocarditis (424.90:6),1
Alcohol liver damage (571.3:0),1
Myotonic muscular dystrophy (359.2:2),1
Chickenpox with complication (052.8:0),1
Pneumonitis by solid/ liquid (507.8:0),1
Edema of larynx (478.6:0),1
Sequelae of cerebral infarction (438:6),1
Protein lose enteropa-not malabso (569.89:6),1
Pulmonary eosinophilia (518.3:0),1
Myoclonus (333.2:0),1
Efferent loop obstruct bowel (560.9:3),1
Viral disease (078.89:1),1
Acute intestinal ulcer (569.82:1),1
Sprain of back (847.9:0),1
Intra-abdominal mass (789.30:6),1
Lumbosacral root lesions (353.4:0),1
Chronic granulomatous disease (288.1:1),1
Gallbladder adenomyomatosis (211.5:1),1
Metabolic myopathy (359.8:1),1
Bowel infect by campylobacter coli (008.43:1),1
Problem w swallowing (V41.6:0),1
Suboptimal CTG delivered (656.91:3),1
DIC+ primary PPH postpartum care (666.34:800),1
Insert central venous catheter (38.93:1),1
Correct transpos grt ves (745.12:0),1
Acute pyelonephritis post op (590.10:1),1
Aneurysm & precereb artery dissect (442.89:2),1
Tracheal mass (786.6:2),1
Streptococcus group C infection (041.03:0),1
Allogeneic stem cell transplant (41.03:3),1
Basilar artery syndrome (435.0:0),1
"Pelvic hematoma, female postop (629.8:1)",1
Extrapyramidal and movement dis (333.90:0),1
Intrahepatic duct stone (574.50:4),1
Disease of pharynx (478.20:0),1
Dermatitis (692.9:8),1
Amyloid light-chain amyloidosis (277.39:14),1
LVOT obstruction (746.84:6),1
Cancer of adrenal gland (194.0:0),1
Thyroid tumor (239.7:4),1
Mucoid impaction of bronchi (934.8:2),1
Ketamine induc ment/ behav disor (292.9:16),1
Infect by implanted cardiac device (996.61:3),1
"Skin blister, non traumatic (709.8:3)",1
Percut transhepatic biliary drain (51.98:1),1
Postoperative hemothorax (511.8:7),1
Myoclonus epilepsy+ rag red fiber (330.4:1),1
Diaphragm hernia w obstruction (552.3:0),1
Throat pain (784.1:0),1
Scalp mass (782.2:13),1
Miliary TB by micro exam (018.93:0),1
Scalded skin syndrome (695.81:1),1
"Hyperthyroidism, antepartum care (648.13:806)",1
Unc behav neo intestine (235.2:0),1
NIPPV (93.91:1),1
Benign neoplasm of pancreas (211.6:3),1
"Leucopenia, drug related (288.0:3)",1
Metastatic LN - thoracic (196.1:1),1
M&B multi drug withdraw+ delirium (292.0:77),1
Heart disease (429.9:0),1
Histiocytic sarcoma (202.30:1),1
Rectal Fistula (565.1:5),1
Denture loose (998.89:16),1
Hx of schizophrenia (V11.0:0),1
Cancer of uterus (179:0),1
Malig neo pituitary (194.3:0),1
PV bleed in early preg antepa care (640.93:801),1
Viral meningitis (047.9:0),1
"Schizoaffective disorder, manic (295.70:4)",1
Observe for suspected cancer (V71.1:0),1
Leaking from gallbladder bed (997.4:23),1
Sepsis due to Moraxella infection (038.49:5),1
Alcohol withdrawal psychosis (291.81:0),1
Acute bowel infarction (557.0:18),1
Deep laceration of lower leg (891.1:5),1
CA breast axillary tail (174.6:0),1
Acute necrotising encephalitis (049.8:2),1
Angiodysplasia of small bowel (569.84:1),1
Superi mesente vein thrombosis (452:2),1
Nonrheumatic mitral valve disorder (424.0:0),1
Clo# skl base lac+ contu prol LOC (801.14:0),1
Late eff cns abscess (326:0),1
Hx of breast malignancy (V10.3:0),1
"Laceration of knee, leg, ankle (891.0:1)",1
Male genital organ disorders (608.89:0),1
Traum pneumothorax open wd (860.1:0),1
"Cardiomyopathy, delivery episode (648.61:2)",1
Sudden cardiac death (427.5:2),1
Bone & cartilage disorder (733.90:0),1
Auditory hallucination (780.1:1),1
Infection-associated MAS (277.8:34),1
Chyluria (791.1:0),1
Hypomagnesaemia (275.2:1),1
Abscess of penis (607.2:1),1
Gallstone (574.20:1),1
Brain tumor (239.6:0),1
AP care- fetal twin-twin transfus (655.83:801),1
Limbic encephalitis (323.8:1),1
Placenta previa (641.00:0),1
Chr t and a dis (474.8:0),1
Acquired skull defect (738.10:1),1
Phimosis (605:3),1
Sickle-cell anemia (282.60:0),1
Fracture four ribs-close (807.04:0),1
TB myelitis (013.60:1),1
Observ-suspect TB (V71.2:0),1
Drug induced depression (292.89:55),1
Thyrotox w cris (242.81:0),1
"2nd degree heart block, Mobitz I (426.13:1)",1
Cancer of tonsillar pillar (146.2:0),1
Fracture three ribs-clos (807.03:0),1
Cl skull vault # w mod coma (800.33:0),1
Cor pulmonale chronic (416.9:1),1
Sequelae of open wound lower limb (906.1:2),1
Chronic renal parenchymal disease (585.9:11),1
Metastatic tumor to prostate (198.1:5),1
Bowel infect by campylobact jejuni (008.43:2),1
Hyperten heart dis w CHF (402.91:0),1
DIC+ secondary PPH postpartum care (666.34:801),1
Dermoid cyst (229.9:5),1
Pulmonary cryptococcosis (117.5:3),1
Diverticul small gut+ perfo+ absc (562.00:5),1
Heart block (426.6:0),1
Breast abscess (611.0:1),1
Injury vertebral artery neck level (900.89:1),1
Rapid prog neph synd crescentic GN (583.4:9),1
Diarrhea & vomit - maternal care (643.90:2),1
"Laceration,Eyebrow (873.42:1)",1
"Delivered, 3rd degre perineal tear (664.21:800)",1
Acute bronchiolitis due to hMPV (466.19:1),1
Recurrent & persistent hematuria (599.7:10),1
Schizoaffective disorder (295.70:3),1
Papillary growth bladder (239.4:1),1
Vomiting post-GI surgery (564.3:0),1
HIV type I infection (042:47),1
Cx by heart valve prosthesis (996.71:0),1
Non-Hodgkin's lymphoma (202.80:36),1
Malig neo renal pelvis (189.1:0),1
"Invasive ductal CA breast, female (174.9:3)",1
"Descending colon injury, closed (863.43:0)",1
Fronto-temporal dementia (294.1:28),1
Feeling ill (780.7:5),1
Toxic multinodular goiter (242.20:0),1
"Pericarditis, Acute (420.90:0)",1
Thrombocythemia (238.7:4),1
Herpes simplex meningitis (054.72:0),1
Ureteric perforation (593.89:2),1
Conjunctivochalasis (372.8:1),1
Chronic pulmonary heart disease (416.9:0),1
Laboratory test result abnormal (796.4:3),1
Acute arterial thrombosis (444.9:2),1
Blood stained sputum (786.4:2),1
Gallstone w chronic cholecystitis (574.10:1),1
Urticaria (708.9:0),1
Carotid occluded/ steno no infarct (433.10:0),1
Acquired hypothyroidism (244.8:0),1
Adenomyoma of gallbladder (211.5:6),1
Emotional state symptom & sign (780.9:22),1
M&B acute stimulant intoxication (305.70:10),1
Osteomyelitis lumbar spine (730.28:10),1
Skin erosion at generator site (996.61:2),1
Doubly committed VSD (745.4:10),1
Panhypopituitarism (253.2:0),1
Graft rejection (996.52:12),1
Myiasis (134.0:0),1
Cancer of testis (186.9:0),1
Malig heart/ renal HT& both fail (404.03:0),1
Metastasis to LN multiple sites (196.8:0),1
Eisenmenger syndrome (745.4:1),1
Abnormal finding in CSF (792.0:11),1
"Fever >38C for 48 hours, post-op (998.89:6)",1
Neutropenic colitis (558.9:26),1
Spondylo compress thoracic sp cord (721.41:0),1
Cyanosis (782.5:0),1
Buttock mass (782.2:3),1
Sclerosing mesenteritis (567.8:6),1
Maternal IU infect affect newborn (771.8:4),1
Displaced Tenckhoff catheter (996.59:5),1
Local skin swell/ mass multi site (782.2:23),1
Tender abdomen (789.60:0),1
Hodgkin disease head+ neck LN (201.91:0),1
Foreign body in bladder (939.0:2),1
Entrapped temporal horn (331.4:10),1
Cholecystoduodenal Fistu (575.5:1),1
Metastasis to peritoneum (197.6:4),1
Sinus arrest (426.6:2),1
Type II DM with PVD (250.70:1),1
Major joint infection (711.90:1),1
Abrasion (919.8:1),1
Lung bulla (492.0:1),1
Calculus of bile duct (574.50:5),1
Mental+ behavior disor by alcohol (291.9:4),1
Streptococcus suis septicemia (038.0:1),1
"Abscess of head, except face (682.8:2)",1
Open wound wrist (881.02:0),1
Cancer of ethmoidal sinus (160.3:0),1
"Gangrene, buttock (785.4:2)",1
Urethral mass (599.84:4),1
Injury femoral vein (904.2:0),1
Sinus node dysfunction (427.89:17),1
Candidal endocarditis (112.81:0),1
Hx male genital malignancy (V10.49:0),1
Thrombocytopenia asso with AIDS (042:56),1
Joint pain - multiple joints (719.49:0),1
"Prev multiple cesarean, delivered (654.21:1)",1
Pseudoaneurysm vascular entry site (997.2:6),1
Wegener's granu glomerulonephritis (446.4:2),1
Uncontrol typeII DM periph neuropa (250.62:5),1
Hemophagocytic synd infect related (277.8:5),1
Cong cystadenomatoid malform lung (748.69:1),1
Injury popliteal vein (904.42:0),1
"Angiodyspl w hem, stomach & duoden (537.83:0)",1
"Transcervical # hip, open (820.12:1)",1
Disorder of bone (733.90:9),1
Type II DM + peripheral neuropathy (250.60:10),1
Fibromatosis of abdominal wall (238.1:1),1
Cancer of heart (164.1:0),1
Hematoma of auricle (380.31:0),1
Slipped suprapubic catheter (996.39:6),1
Skin infection of finger (686.9:9),1
AVSD with dominant RV (745.69:7),1
Injury of urethra (867.0:2),1
Pacemaker lead complication (996.01:2),1
Chr sphenoidal sinusitis (473.3:0),1
Late Alzheimer dementia mix symp (290.0:7),1
Reactive hemophagocytic syndrome (277.8:25),1
Retained dental root (525.3:0),1
Neurosyphilis (094.9:0),1
Ebstein's anomaly (746.2:0),1
Brain conditions (348.8:0),1
Mal neo spinal cord (192.2:0),1
Intestinal lymphangiectasis (457.1:3),1
Lymphoma (202.80:2),1
"Wound sinus, post-op (998.6:1)",1
Periph nerve injury - neurotmesis (957.9:4),1
Osteoporosis (733.00:0),1
Malignant lymphoma (202.80:1),1
"Pelvic hematoma, postpartum care (665.74:800)",1
Hyperosmolality (276.0:2),1
Meningococcal infection (036.9:0),1
Bipolar affective disorder (296.7:1),1
Corrosion of esophagus (947.2:1),1
Knee haemarthrosis (719.16:1),1
History of COVID-19 (V12.6:2),1
For exam potent bone marrow donor (V70.8:1),1
"Bacteremia, postoperative (790.7:1)",1
Marfan syndrome (759.82:0),1
Congenital pneumonia (770.0:0),1
"Contusion of trunk, buttock (922.32:0)",1
Hemophilia A (286.0:1),1
Malunion of fracture (733.81:0),1
Cancer of skin (173.9:0),1
Radiation brain necrosis (437.8:2),1
Severe depressive with psycho (296.24:4),1
"# Radius Shaft, Closed (813.21:0)",1
TB female genital organ by histo (016.75:0),1
Tuberculous kidney (016.00:0),1
CO bronchitis acute exacerbation (491.21:0),1
"Sinus of Valsalva aneurysm, RCC (747.29:15)",1
Dystonia (333.6:2),1
Amyotrophic sclerosis (335.20:0),1
Ischemic colostomy (569.6:8),1
Injury of blood vessel at forearm (903.8:7),1
Fistula of soft palate (528.9:30),1
TB bowel+ mesent gland by culture (014.84:0),1
Radiculopathy of lumbar region (724.4:33),1
Dyspepsia (536.8:2),1
Double inlet LV (745.3:2),1
Pneumoconiosis (505:0),1
Hyperparathyroid due to renal dise (588.8:4),1
Cachexia (799.4:0),1
Hx TIA (V12.59:1),1
Monoclon gammopa undeter signif (273.1:3),1
"Suboptimal CTG, delivered (656.91:3)",1
Suppurative appendicitis (540.9:6),1
Traumatic amputation of forearm (887.0:3),1
Type 2 DM with overt nephropathy (250.40:9),1
Injury of knee (959.7:10),1
Ruptured femoral aneurysm (442.3:4),1
Postherpetic neuralgia (053.19:1),1
HIV infection w immun disease (042:17),1
Low blood pressure reading (796.3:0),1
Housing problem (V60.9:1),1
Malig neo penis body (187.3:0),1
ICH postop (997.02:5),1
Tracheobronchitis (490:1),1
Immunity deficiency (279.3:0),1
Non-Hodgkin lymphoma asso HIV (042:57),1
Strepto arthritis knee (711.06:4),1
Umbilical hernia w gangrene (551.1:0),1
Immune mechanism disorder (279.9:0),1
Pre-/ eclampsia- pre-exist HT PP (642.74:800),1
Multi drug mental/ behav disorder (292.9:25),1
Hernia (553.9:0),1
Salmonella osteomyelitis (003.24:0),1
Pheochromocytoma benign-L adrenal (227.0:5),1
C1C2 subluxation (839.01:1),1
Bartholin's gland abscess (616.3:0),1
Eosinophil hyperplasia bone marrow (289.8:6),1
Lymphoproliferat dis (238.7:0),1
Open wound elbow (881.01:0),1
"Prev uterine myomectomy, delivered (654.91:1)",1
Hemarthrosis (719.10:0),1
Chr duoden ulc perf+ obst (532.51:0),1
Acute otitis media (382.9:1),1
Infection due to coronavirus (079.89:3),1
TB lung w cavitation (011.20:0),1
Spastic tetraplegia (344.09:2),1
Drug-induced myopathy (359.4:1),1
Herpes zoster otitis externa (053.71:0),1
Retinal defect (361.30:0),1
Microorg infect resist carbapenem (V09.1:1),1
Mass of uterine adnexa (625.8:11),1
Colonic Stricture (560.9:1),1
Spondylosis (721.90:0),1
Hypopituitarism due to radiotherap (253.7:3),1
"Fistula-in-ano, high (565.1:2)",1
Injury muscle & tendon lower trunk (848.8:4),1
Infective enteritis (009.0:3),1
Acute disseminated demyelination (341.9:2),1
Hypopituitarism (253.2:5),1
Spondylolisthesis (738.41:6),1
Respiratory depression (786.00:1),1
"CA kidney, bilateral (189.0:1)",1
Varicose veins of leg (454.9:0),1
Chronic gastritis w hemorrhage (535.11:1),1
Injury to femoral artery (904.1:2),1
Injury to carotid artery (900.00:0),1
Coagulation defect (286.9:0),1
Hemorrhagic nephrosonephritis (078.6:0),1
Mediastinum disease (519.3:0),1
Contusion of chest wall (922.1:0),1
Thrombosed arteriovenous fistula (996.74:1),1
Acu mastoiditis with complication (383.02:0),1
Malignant triton tumor (171.9:15),1
Sporadic Jakob-Creutzfeldt disease (046.1:1),1
Body fluid retention (276.6:2),1
Nontoxic uninodular goiter (241.0:0),1
Superficial foreign body of trunk (911.6:5),1
Hematoma of vulva (624.5:0),1
Osteomyelitis cervical spine (730.28:6),1
Acute inflam demyelin neuropathy (357.0:1),1
Acute graft-versus-host disease (996.85:3),1
Musculoskeletal anomaly (756.9:0),1
Social problem (V62.4:5),1
Pelvic abscess (567.2:15),1
Arthritis of knee (716.96:1),1
"GN, minimal change (581.3:1)",1
"Abdom/pelvic swelling, left upper (789.32:0)",1
Back injury (959.1:12),1
Closed dislocation of knee (836.50:0),1
Closed # hand (815.00:0),1
Harmful use of cocaine (305.60:4),1
Paralysis of Diaphragm (519.4:1),1
HIV result in bacterial infection (042:26),1
Fracture patella - open (822.1:0),1
Common truncus arteriosus (745.0:0),1
Cauda equina injury (952.4:0),1
Screening of NPC (V76.0:1),1
Bipolar current in remission (296.7:2),1
Anti-septic poisoning (976.0:0),1
Bipolar current manic no psych sym (296.43:1),1
Ca in situ bronchus/lung (231.2:0),1
Chro osteomyelit w sinus lower leg (730.16:2),1
Burkitt lymphoma intrapelvic LN (200.26:0),1
Leiomyoma of duodenum (211.2:2),1
Hypospadias (752.61:0),1
Temper tantrums (312.10:2),1
"2nd hemorrhage, postoperative (998.11:17)",1
Leprosy (030.9:0),1
No ureteric stone (V71.9:20),1
Bicuspid aortic valve (746.4:1),1
Hyperinsulinism (251.1:3),1
Hemorrhage of vagina (623.8:1),1
Chronic constipation (564.0:1),1
# vertebral body thoracic (805.2:5),1
"Retained placenta- no bleed, PN (667.04:800)",1
Obstructed ventral hernia (552.20:0),1
Herpetiform aphthous stomatitis (528.2:3),1
Sprain ankle (845.00:0),1
Ischemic ulcer (707.9:4),1
Nonthrombocytopenic purpura (287.2:0),1
Thorac aortic thrombos & embolism (444.1:0),1
Viral hepatitis (070.9:0),1
"Thalassemia, beta intermedia (282.4:10)",1
Cancer of urinary organ (189.9:0),1
Vaginal ulcer (616.8:3),1
Noninfect gastroenteritis& colitis (558.9:0),1
Uraemic neuropathy (585.1:1),1
TB of organ by culture (017.94:0),1
Sacroiliitis (720.2:0),1
Cancer lateral floor of mouth (144.1:0),1
"CA larynx - glottis, bilateral (161.0:3)",1
Lymphangitis (457.2:0),1
Blocked arteriovenous fistula (996.1:1),1
Idiopathic hypereosinophilic syndr (205.10:9),1
Spontaneous ecchymosis (782.7:0),1
Mild MR sig impair beh req att/ tx (317:2),1
"# Ulna Shaft, Closed (813.22:0)",1
Thrombosed vascular graft (996.74:6),1
Metastasis to cervix uteri (198.82:1),1
Bleeding proctitis (569.49:6),1
Malignan tumor of ill defined site (199.1:18),1
Enterobacter infection (041.85:5),1
Subcutaneous fat necrosis (709.3:1),1
Lymphocytopenia (288.8:5),1
Fracture of ischium-open (808.52:0),1
Cholestasis (576.8:6),1
Slowness & poor responsiveness (799.8:11),1
Monkeypox (057.8:2),1
Down syndrome (758.0:0),1
Injury of neck (959.0:9),1
# medial malleolus - closed (824.0:0),1
Seminoma of testis (186.9:11),1
Acute esophagitis (530.10:2),1
Mucopurul chr bronchitis (491.1:0),1
"Abdomin tender, right up quadrant (789.61:0)",1
Fracture calcaneus - closed (825.0:0),1
Spine ligament ossify non-cervical (724.8:4),1
Acute duodenitis (535.60:2),1
Legal abortion cx by haemorrhage (635.10:0),1
Flu with resp manifestations (487.1:0),1
Radiation proctitis with bleeding (569.43:1),1
Cerebellar ataxia (334.3:0),1
"Abdominal pain, localized (789.00:10)",1
Intersphincteric abscess anus (566:10),1
Facial nerve disorder (351.9:0),1
"Alcoholic cirrhosis of liver, A (571.2:1)",1
AMI sequelae (429.79:0),1
Aneurysm (442.9:0),1
Acquire hypertro pyloric stenosis (537.0:0),1
Cervical spondylosis (721.0:0),1
Contusion of knee (924.11:0),1
"Nodular lymphoma, inguinal (202.05:0)",1
Pelvic varices (456.5:0),1
Cerebral plasmod falciparu malaria (084.9:1),1
Bronchospasm (519.1:4),1
Cushing's disease (255.0:1),1
Neoplasm of blood (238.7:12),1
Superficial laceration of finger (883.0:2),1
Liver fibrosis (571.5:3),1
"Mycosis fungoides, multiple (202.18:0)",1
Encounter for rehab procedure (V57.89:0),1
Cancer of tongue (141.8:0),1
Bacterial pneumonia (482.9:0),1
Image guide percu drain lymphatics (40.0:2),1
Gastric Fistula (537.4:2),1
Hypoalbuminemia (273.8:2),1
Infect/ inflam by device/ graft (996.60:0),1
Amaurosis fugax (362.34:1),1
Sprain of elbow (841.9:1),1
Staphylococcal meningitis (320.3:0),1
Pleuroperitoneal fistula (510.0:1),1
Cadaveric Kidneys Donor (V59.4:1),1
Infec due to hrt device (996.61:0),1
Bone marrow hyperplasia (289.9:6),1
Oculogyric crisis (378.87:1),1
Anal pain (569.42:1),1
Unc behav neo prostate (236.5:0),1
Tumor uncertain behavior mediastin (235.8:1),1
"Ruptured Liver, Traumatic (864.04:1)",1
"Abnormal CTG, delivered (656.91:2)",1
Mood disorder (296.99:1),1
Hemophilus flu sepsis (038.41:2),1
Mental+ behav disor by stimulant (292.9:17),1
Eplep part cont-not intr (345.70:0),1
"Breast defect, post-mastectomy (611.8:3)",1
M&B disor by opioid acute intoxic (305.50:7),1
Delivered with APH (641.91:800),1
Delivered with acute fatty liver (646.71:802),1
Carcinoma common bile duct (156.1:1),1
LV myocardial non-compaction (425.4:4),1
Vaginitis (616.10:1),1
