Organism_Combination,Count
Candida albicans | Candida species | Diphtheroids | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Pseudomonas aeruginosa,1
Corynebacterium striatum | Enterococcus faecium | Lactobacillus species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Citrobacter species | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Diphtheroids | Enterobacter species | Haemophilus influenzae | Neisseria species | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1
Candida albicans | Escherichia coli | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Staphylococcus aureus | Staphylococcus capitis,1
"Staphylococcus epidermidis | Streptococcus pneumoniae | Streptococcus, viridans group",1
"Corynebacterium species | Staphylococcus, coagulase negative | Streptococcus mitis group",1
Alpha-haemolytic streptococcus | Candida albicans | Haemophilus parainfluenzae | Neisseria species | Prevotella veroralis | Staphylococcus caprae | Staphylococcus epidermidis,1
Clostridium perfringens | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis,1
Klebsiella pneumoniae complex | Propionibacterium species | Proteus species,1
Bacteroides fragilis | Proteus mirabilis | Pseudomonas aeruginosa,1
Bacillus species | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus,1
Escherichia coli | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Streptococcus agalactiae,1
Diphtheroids | Gram-negative bacilli | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Candida species | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa,1
Candida albicans | Klebsiella pneumoniae | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus capitis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Pseudomonas aeruginosa,1
Enterococcus faecalis | Klebsiella pneumoniae complex | Non-fermentative Gram-negative bacilli,1
Bacteroides uniformis | Enterococcus avium | Escherichia coli,1
Cutibacterium acnes | Escherichia coli | Haemophilus influenzae,1
Citrobacter koseri | Citrobacter species | Streptococcus bovis group,1
Escherichia coli | Gleimia europaea | Staphylococcus aureus,1
Bacteroides fragilis group | Coliform bacteria | Enterococcus avium | Escherichia coli | Morganella morganii | Proteus mirabilis,1
Diphtheroids | Escherichia coli | Morganella morganii,1
Actinobaculum schaalii | Methicillin resistant Staphylococcus aureus,1
"Enterococcus faecalis | Prevotella buccae | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus milleri group",1
Candida albicans | Candida glabrata | Diphtheroids | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,1
Candida albicans | Corynebacterium striatum | Enterococcus faecium | Klebsiella pneumoniae complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Klebsiella pneumoniae complex | Proteus mirabilis,1
Enterobacter hormaechei | Enterobacter species | Escherichia coli,1
Candida albicans | Diphtheroids | Gemella species,1
Diphtheroids | Staphylococcus capitis | Staphylococcus haemolyticus,1
Actinomyces species | Bacteroides thetaiotaomicron | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis | Candida species | Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Proteus mirabilis | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Diphtheroids | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus capitis | Stenotrophomonas maltophilia,1
Coliform bacteria | Enterococcus faecium | Proteus species | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Klebsiella pneumoniae | Kodamaea ohmeri | Methicillin resistant Staphylococcus aureus | Pichia species | Staphylococcus capitis | Streptococcus anginosus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus cereus group | Bifidobacterium breve | Candida tropicalis | Lysinibacillus species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
Bacteroides thetaiotaomicron | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Candida parapsilosis complex | Enterococcus faecalis,1
Candida albicans | Diphtheroids | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus caprae,1
Bacteroides vulgatus | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus aureus,1
Escherichia coli | Serratia marcescens | Staphylococcus aureus,1
Diphtheroids | Escherichia coli | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus caprae | Staphylococcus lugdunensis,1
Candida albicans | Klebsiella pneumoniae | Pichia kudriavzevii,1
Cutibacterium acnes | Diphtheroids | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Staphylococcus lugdunensis | Streptococcus anginosus,1
Bacteroides fragilis | Candida albicans | Diphtheroids | Pseudomonas aeruginosa | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Escherichia coli | Staphylococcus epidermidis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bifidobacterium breve | Candida albicans | Candida glabrata | Corynebacterium striatum | Enterococcus faecium | Klebsiella pneumoniae | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Candida albicans | Candida species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Serratia marcescens,1
Bacteroides ovatus | Diphtheroids | Peptostreptococcus anaerobius | Streptococcus anginosus,1
Candida albicans | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,1
Citrobacter species | Klebsiella species | Morganella morganii | Pseudomonas aeruginosa | Streptococcus anginosus,1
Morganella morganii | Proteus mirabilis | Staphylococcus epidermidis,1
Bacillus species | Burkholderia cepacia complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Pichia kudriavzevii | Staphylococcus aureus,1
Bacteroides pyogenes | Staphylococcus capitis | Streptococcus anginosus,1
Candida albicans | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Pseudomonas aeruginosa | Streptococcus agalactiae,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium macginleyi | Methicillin resistant Staphylococcus aureus | Staphylococcus lugdunensis,1
Candida albicans | Citrobacter koseri | Citrobacter species | Clostridium perfringens | Enterococcus faecium | Enterococcus raffinosus | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Streptococcus anginosus,1
Aeromonas hydrophila complex | Candida tropicalis | Klebsiella pneumoniae complex | Stenotrophomonas maltophilia,1
"Anaerobic Gram-negative bacilli | Corynebacterium striatum | Enterobacter cloacae complex | Enterobacter species | Enterococcus faecium | Enterococcus gallinarum | Escherichia coli | Moraxella species | Pseudomonas aeruginosa | Streptococcus anginosus | Streptococcus, viridans group",1
Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Proteus species | Staphylococcus aureus,1
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Serratia species | Stenotrophomonas maltophilia,1
"Candida glabrata | Candida tropicalis | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Aerococcus urinae | Streptococcus species,1
Corynebacterium species | Methicillin resistant Staphylococcus aureus | Providencia stuartii,1
Candida species | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Corynebacterium species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus,1
Bacteroides species | Candida albicans | Clostridium innocuum | Corynebacterium striatum | Enterococcus avium | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Stenotrophomonas maltophilia | Yeast,1
Morganella morganii | Staphylococcus aureus | Streptococcus bovis group,1
Enterococcus faecalis | Providencia rettgeri,1
Candida albicans | Candida glabrata | Candida species | Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Enterococcus faecalis | Klebsiella pneumoniae complex | Proteus mirabilis,1
Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Klebsiella pneumoniae complex,1
Bacteroides species | Candida albicans | Candida glabrata | Enterococcus avium | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Candida albicans | Enterococcus faecium | Klebsiella pneumoniae complex | Mycobacterium species | Mycobacterium tuberculosis | Pseudomonas aeruginosa,1
Escherichia coli | Klebsiella pneumoniae complex | Mycobacterium fortuitum complex | Proteus mirabilis,1
Candida albicans | Candida species | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Enterococcus faecium | Klebsiella pneumoniae complex | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Salmonella group D | Salmonella species,1
Corynebacterium striatum | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Bacteroides species | Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae complex,1
Bacteroides fragilis group | Corynebacterium striatum | Enterococcus avium | Escherichia coli | Proteus species,1
Candida glabrata | Corynebacterium pseudodiphtheriticum | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Streptococcus dysgalactiae,1
Acinetobacter baumannii | Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis complex | Candida species | Clostridium ramosum | Corynebacterium resistens | Diphtheroids | Enterococcus avium | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Lactobacillus paracasei | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Enterococcus faecalis | Enterococcus raffinosus | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus species,1
Candida albicans | Candida glabrata | Candida species | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Providencia stuartii | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Burkholderia cepacia complex | Candida albicans | Enterococcus faecium | Escherichia coli | Serratia marcescens | Streptococcus anginosus,1
"Diphtheroids | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus, group G",1
Candida glabrata | Candida tropicalis | Mycobacterium species | Mycobacterium tuberculosis | Serratia species,1
Candida albicans | Escherichia coli | Non-haemolytic streptococcus,1
Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Trichosporon asahii,1
"Corynebacterium jeikeium | Enterococcus faecium | Escherichia coli | Staphylococcus, coagulase negative",1
Candida glabrata | Enterobacter cloacae complex | Enterococcus faecalis | Enterococcus faecium | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,1
Candida species | Enterococcus faecium | Escherichia coli | Staphylococcus aureus,1
Coliform bacteria | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Enterococcus raffinosus | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Gram-negative bacilli | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,1
Citrobacter koseri | Prevotella bivia | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Enterococcus avium | Enterococcus faecalis | Escherichia coli | Proteus mirabilis | Providencia stuartii | Pseudomonas aeruginosa,1
Acid-fast bacillus | Candida albicans | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Mycobacterium avium complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Salmonella group D | Staphylococcus aureus,1
Candida tropicalis | Enterobacter cloacae complex | Enterococcus faecalis | Klebsiella pneumoniae | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus caprae | Staphylococcus epidermidis,1
Enterococcus faecium | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Staphylococcus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Proteus species | Staphylococcus aureus,1
Escherichia coli | Klebsiella pneumoniae complex | Klebsiella species | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus avium | Proteus mirabilis,1
Enterococcus faecium | Klebsiella pneumoniae | Serratia species | Streptococcus gordonii | Streptococcus mitis group,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Citrobacter species | Klebsiella pneumoniae | Serratia marcescens | Serratia species | Staphylococcus aureus,1
Candida albicans | Coliform bacteria | Enterobacter cloacae complex | Yeast,1
Enterococcus faecium | Escherichia coli | Klebsiella species | Morganella morganii,1
Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus epidermidis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Enterococcus faecalis | Enterococcus faecium | Gram-negative bacilli | Raoultella planticola | Serratia marcescens | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Aspergillus fumigatus | Candida albicans | Escherichia coli | Klebsiella pneumoniae complex,1
"Candida albicans | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
"Enterococcus faecalis | Escherichia coli | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Citrobacter species | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus capitis,1
Candida albicans | Clostridium perfringens | Enterobacter cloacae complex | Enterococcus faecium | Escherichia coli,1
Corynebacterium striatum | Diphtheroids | Enterococcus faecalis | Pseudomonas aeruginosa,1
Candida albicans | Enterococcus faecalis | Klebsiella aerogenes | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus,1
"Candida tropicalis | Citrobacter species | Clostridioides difficile | Enterococcus faecium | Enterococcus gallinarum | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Proteus species | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Escherichia coli | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Citrobacter koseri | Enterococcus faecalis | Enterococcus species | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pichia kudriavzevii,1
Candida albicans | Enterococcus faecium | Mycobacterium fortuitum complex | Mycobacterium species,1
"Diphtheroids | Propionibacterium species | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Escherichia coli | Pseudomonas aeruginosa | Serratia marcescens | Staphylococcus aureus,1
Candida tropicalis | Enterococcus faecalis | Enterococcus faecium | Klebsiella species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Streptococcus mitis group,1
Bacteroides fragilis | Enterococcus avium | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,1
Candida tropicalis | Klebsiella species | Salmonella group D,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterobacter cloacae complex | Klebsiella species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
"Actinomyces species | Alpha-haemolytic streptococcus | Mycobacterium abscessus | Neisseria species | Streptococcus, viridans group",1
Diphtheroids | Enterococcus faecium | Klebsiella aerogenes | Prevotella salivae | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Proteus mirabilis | Trichophyton rubrum,1
Candida glabrata | Clostridioides difficile | Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Morganella morganii | Stenotrophomonas maltophilia | Streptococcus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Alpha-haemolytic streptococcus | Escherichia coli | Neisseria species | Pseudomonas aeruginosa | Staphylococcus epidermidis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Candida lipolytica | Diphtheroids | Klebsiella pneumoniae | Kodamaea ohmeri | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Trichophyton rubrum",1
Bacillus cereus group | Bacteroides fragilis | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Escherichia coli | Providencia stuartii,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii | Staphylococcus, coagulase negative | Streptococcus, group G",1
"Candida albicans | Escherichia coli | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Morganella morganii | Pseudomonas aeruginosa,1
Klebsiella species | Mycobacterium avium complex | Mycobacterium species,1
Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Salmonella group B,1
Eggerthella lenta | Enterococcus faecalis | Enterococcus faecium | Enterococcus raffinosus | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Morganella morganii,1
Candida glabrata | Escherichia coli | Stenotrophomonas maltophilia,1
"Candida albicans | Enterococcus faecalis | Escherichia coli | Fusobacterium mortiferum | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida albicans | Escherichia coli | Klebsiella species | Lactobacillus species,1
Candida albicans | Coliform bacteria | Escherichia coli | Staphylococcus aureus,1
Citrobacter koseri | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus,1
Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus,1
Enterococcus faecalis | Klebsiella pneumoniae | Proteus mirabilis | Staphylococcus capitis,1
Pseudomonas aeruginosa | Streptococcus intermedius,1
Candida albicans | Diphtheroids | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Pseudomonas aeruginosa | Salmonella group D,1
"Corynebacterium species | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Dialister pneumosintes | Streptococcus agalactiae,1
Bacteroides vulgatus | Candida albicans | Methicillin resistant Staphylococcus aureus,1
"Bacteroides fragilis group | Clostridium ramosum | Enterococcus faecalis | Escherichia coli | Fusobacterium species | Proteus mirabilis | Streptococcus constellatus | Streptococcus, group G",1
"Candida parapsilosis | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Enterococcus faecium | Proteus mirabilis | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella species | Streptococcus mitis group | Streptococcus vestibularis,1
"Candida glabrata | Citrobacter species | Enterobacter cloacae complex | Escherichia coli | Klebsiella species | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Anaerococcus tetradius | Bacteroides species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Salmonella species,1
Enterococcus faecalis | Klebsiella pneumoniae | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Pseudomonas aeruginosa,1
Candida albicans | Candida parapsilosis | Trichosporon asahii,1
Staphylococcus capitis | Staphylococcus caprae | Staphylococcus epidermidis,1
Candida albicans | Candida parapsilosis | Candida parapsilosis complex | Clostridioides difficile | Enterococcus faecalis | Escherichia coli | Staphylococcus aureus | Staphylococcus epidermidis,1
Enterobacter cloacae complex | Enterococcus faecalis | Escherichia coli | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Proteus mirabilis | Pseudomonas aeruginosa | Serratia marcescens,1
Candida albicans | Candida species | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Staphylococcus epidermidis,1
Candida glabrata | Candida tropicalis | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1
"Corynebacterium jeikeium | Corynebacterium striatum | Diphtheroids | Enterobacter species | Escherichia coli | Klebsiella aerogenes | Micrococcus species | Staphylococcus aureus | Staphylococcus capitis | Staphylococcus caprae | Staphylococcus epidermidis | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Citrobacter freundii complex | Clostridium perfringens | Corynebacterium tuberculostearicum | Enterococcus faecalis | Enterococcus gallinarum | Escherichia coli | Klebsiella pneumoniae | Streptococcus anginosus,1
Candida glabrata | Pseudomonas aeruginosa | Streptococcus agalactiae,1
Candida species | Enterococcus faecium | Klebsiella pneumoniae complex,1
Candida albicans | Rothia dentocariosa | Rothia mucilaginosa | Streptococcus mitis group,1
Corynebacterium striatum | Enterococcus faecium | Morganella morganii | Pseudomonas aeruginosa | Staphylococcus aureus,1
Bacteroides pyogenes | Enterococcus faecalis | Klebsiella pneumoniae | Morganella morganii | Oligella urethralis | Proteus mirabilis | Pseudoglutamicibacter species | Pseudomonas aeruginosa | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Clostridium ramosum | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Peptostreptococcus anaerobius | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Staphylococcus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Diphtheroids | Enterococcus faecalis | Morganella morganii | Providencia stuartii | Pseudomonas aeruginosa | Serratia marcescens,1
Actinomyces neuii | Propionibacterium species | Staphylococcus lugdunensis,1
Bacteroides fragilis group | Clostridium saudiense | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Lactobacillus salivarius | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Serratia marcescens,1
Bacteroides fragilis group | Escherichia coli | Klebsiella pneumoniae | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Alpha-haemolytic streptococcus | Candida parapsilosis | Clostridioides difficile | Enterococcus faecalis | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Lactobacillus species | Neisseria species | Proteus mirabilis | Rothia mucilaginosa | Saccharomyces cerevisiae | Staphylococcus caprae | Stenotrophomonas maltophilia,1
Candida albicans | Corynebacterium striatum | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pseudomonas aeruginosa,1
Alpha-haemolytic streptococcus | Candida glabrata | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Microsporum species | Neisseria species | Pseudomonas aeruginosa | Rothia mucilaginosa | Staphylococcus epidermidis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Streptococcus mitis group | Streptococcus salivarius,1
Enterococcus faecalis | Escherichia coli | Gram-negative bacilli | Staphylococcus capitis | Staphylococcus epidermidis,1
Corynebacterium striatum | Morganella morganii | Shewanella putrefaciens,1
Candida parapsilosis | Corynebacterium striatum,1
"Acinetobacter junii | Candida albicans | Neisseria species | Pseudomonas putida group | Staphylococcus, coagulase negative | Streptococcus mitis group | Streptococcus sanguinis",1
Bacteroides species | Candida glabrata | Candida tropicalis | Enterobacter cloacae complex | Enterococcus faecium | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Streptococcus constellatus,1
Candida glabrata | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella aerogenes | Pseudomonas aeruginosa,1
Aeromonas species | Candida glabrata | Enterococcus avium,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Enterobacter cloacae complex | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Mycobacterium avium complex,1
Bacteroides fragilis | Candida species | Escherichia coli | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus avium | Escherichia coli,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Citrobacter koseri | Corynebacterium striatum | Enterococcus avium | Enterococcus faecalis | Escherichia coli | Fusobacterium varium | Klebsiella pneumoniae | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Vagococcus lutrae,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus, coagulase negative | Streptococcus mitis group",1
Enterococcus faecalis | Pichia kudriavzevii | Proteus mirabilis,1
